Source,Target,Weight
A Arterton,London Literary Society,1
A S*****,Sétier,1
A. Duncan Goody,"Simpkin, Marshall",1
A. E Ramsdale,Hughes; Harber,1
Actor Cummins,G. Walker,1
Adolphe Belot,Remington; Co.,1
Adrian Ross,J. Williams,2
Afterwards Drummond Wiley,Chapman; Hall,1
Afterwards Flint Machardy,G. Philip; Son,1
Afterwards Kemble De Camp,John Miller,1
Afterwards Lamb Burges,Edward Kerby,1
Afterwards Orpen-palmer Palmer,Elliot Stock,1
Albert E Drinkwater,Griffith; Farran,1
Alec Fearon,Sonnenschein; Co.,1
Alexander Andrew Knox,Kegan Paul; Co.,1
Alexander Hay Japp,Chatto; Windus,1
Alexandre Dumas,John; Robert Maxwell,1
Alfred Austin,Macmillan; Co.,6
Alfred Austin,Robert Hardwicke,1
Alfred Bate Richards,E. Wilson,1
Alfred Bunn,John Miller,1
Alfred Daniel Hall,J. Henderson,1
Alfred Henry Miles,Hutchinson; Co.,2
Alfred Scott-Gatty,Boosey; Co.,2
Algernon Charles Swinburne,Chatto; Windus,1
Andrea Carlo Cappi,Richard Phillips,2
Andrew Becket,G. Wilkie; J. Robinson; T. Becket,1
Andrew Becket,George Virtue,1
Andrew Becket,Longman,1
Andrzej Paczkowski,William Cademan,1
Anne Bowman,G. Routledge; Sons,1
Annie M Hone,Griffith; Farran,1
Annie Margaret Pike,Headley Bros.,1
Annie Pickering,G. Philip; Son,1
Anthony Brewer,A. R.,1
Anthony Hope,Innes; Co.,1
Anthony Hope,R. H. Russell,1
Anthony Orange,Aldine Publishing Co.,1
Aphra Behn,D. Brown,2
Aphra Behn,J. Harris,1
Aphra Behn,James Knapton,1
Aphra Behn,James Magnus,1
Aphra Behn,Richard Wellington,1
Aphra Behn,Thomas Dring,1
Aphra Behn,W. Canning,1
Arthur Conan Doyle,"Smith, Elder; Co.",1
Arthur Darley Bridge,G. Bell; Sons,1
Arthur E Tregelles,A. E. Tregelles,1
Arthur Henry Bullen,J. C. Nimmo,1
Arthur Murphy,Paul Vaillant,2
Arthur Wing Pinero,Chappell; Co.,1
Arthur Wing Pinero,De Witt Publishing House,1
Aston Cockayne,Isaac Pridmore,1
Aubrey Hopwood,"Francis, Day; Hunter",1
Augustus Harris,J. Miles; Co.,1
Augustus Pugin,Jennings; Chaplin,1
Augustus W Dubourg,Richard Bentley & Sons,1
Austin Dobson,Kegan Paul; Co.,1
Barten Holyday,J. Parker,1
Bartholomew Turnbull,John Duncombe; Co.,1
Beatrix Lucia Catherine Tollemache,Remington; Co.,1
Ben Jonson,Robert Allot,1
Ben Jonson,W. Burre,2
Benjamin E Kennedy,Hurst; Blackett,1
Benjamin Gott,S. W. Partridge; Co.,1
Bertha Thomas,Richard Bentley & Sons,1
Bill Dixon,Chiswick Press,1
Billy Kirton,"Ward, Lock",1
Blanche Davies,Brooke; Co.; C. White,1
Bryan Procter,John Warren,1
Byron Webber,Ward; Downey,1
C. S Burton,Bunny; Davies,1
Campbell Rae Brown,Samuel French,2
Catharine Nina Merritt,Rowsell; Hutchinson,1
Catherine Swanwick,Griffith; Farran,1
Catherine Swanwick,H. K. Lewis,1
Catiline,Moore,1
Chandos Hoskyns-Abrahall,J. S. Hodson; Son,1
Charles Appleyard,F. Summers,1
Charles Davenant,Jacob Tonson,1
Charles Davenant,Richard Tonson,2
Charles Dibdin,T. Becket,1
Charles Dickens,Hutchinson; Co.,1
Charles Dickens,W. H. Allen; Co.,1
Charles Fayette Macglashan,A. L. Bancroft; Co.,1
Charles Inigo Thomas,Court Circular Newspaper Co.,1
Charles Lamb,Chapman; Hall,1
Charles Lamb,John Warren,1
Charles Leslie Richardson,Charing Cross Publishing Company,1
Charles Rann Kennedy,J. Guest,1
Charlotte Hickman,M. H. Gill; Son,1
Charlotte Mary Yonge,Macmillan; Co.,1
Christopher Marlowe,H. Bell,1
Christopher Marlowe,Nicholas Vavasour,1
Christopher Marlowe,Reynell; Son,1
Christopher Riethmuller,Virtue; Co.,1
Cicero,John Sweeting,1
Cicero,"Simpkin, Marshall",1
Clement William Barraud,Longman,1
Colley Cibber,W. Davis,1
Coralie Glyn,"Simpkin, Marshall",1
Daniel Grant,Morton; Co.,1
David Christie Murray,Macmillan; Co.,1
David Crawfurd,R. Basset; William Turner; John Chantry,1
David Garrick,Paul Vaillant,1
David Graham,Chapman; Hall,1
